100000010,000000000,2,0
000101000,301020010,2,7
030000100,013010000,4,5
010000210,100203400,4,10
0000000002,0000000000,2,0
003110000,100000000,5,1
000162120,002000002,12,4
000000000,011101100,0,4
000002010,010000400,3,5
000420000,000001011,6,3
000000000,000000200,0,2
000000000,001001000,0,2
000001103,120402300,5,12
000000003,000102200,3,5
110002000,034012200,4,12
000000000,000400200,0,6
000001104,000100000,6,1
002000000,003001000,2,4
300101310,003100010,9,5
000000042,000002000,6,2
010011013,210300000,7,6
000000001,021010000,1,4
0000003100001,0120001000000,5,4
310000043,102001004,11,8
000002102,000100002,5,3
000100001,000100000,2,1
000003300,003014000,6,8
000000000,000300000,0,3
120010002,010320110,6,8
002001000,020300200,3,7
100000000,000020010,1,3
001100000,103000000,2,4
301020000,012000230,6,8
000003000,000020000,3,2
000000020,002200000,2,4
100010120,104015070,5,18
011000003,200130000,5,6
301010020,000300101,7,5
00000030001,00000003000,4,3
111000020,000000000,5,0
000000000,000200100,0,3
001000000,102000000,1,3
001001030,003011001,5,6
000000030,010250010,3,9
000220000,100000202,4,5
000202200,000000210,6,3
012104020,000501401,10,11
000001000,000110000,1,2
000700000,301100030,7,8
300301001,027100000,8,10
000010000,000010110,1,3
001000000,001020200,1,5
00000031101,30100001000,6,5
000000030,000001040,3,5
000100000,011010000,1,3
300000001,000021000,4,3
410000100,000000212,6,5
000000000,401021000,0,8
000001000,000303100,1,7
010100104,200001000,7,3
100001000,001000000,2,1
000000000,011002030,0,7
010200000,400000200,3,6
212040100,000003000,10,3
000001300,000020000,4,2
000001002,010000000,3,1
001003000,000101010,4,3
010104020,000002000,8,2
000002000,000000001,2,1
000000000,300001000,0,4
500000100,100010210,6,5
110011000,020020200,4,6
0001200011,1001010100,5,4
000000000,100000000,0,1
010000000,000001010,1,2
000402110,200001200,8,5
000002003,005000100,5,6
010000000,000000000,1,0
200200040,303000021,8,9
310200020,100000002,8,3
00000000001,00000000000,1,0
010201021,100050000,7,6
000000001,000011200,1,4
000100010,001000000,2,1
000000003,101000030,3,5
012000120,000000004,6,4
0000001202,0210000001,5,4
010002100,002000040,4,6
000000000,100200010,0,4
000012003,010200000,6,3
000300000,200000210,3,5
101010010,200010200,4,5
010001002,000000000,4,0
001004003,300010000,8,4
201000000,003301000,3,7
000000001,000200200,1,4
000000000,000000110,0,2
000000004,000150120,4,9
501030020,101001001,11,4
101204000,330000310,8,10
001141201,001000302,10,6
000002300,000101010,5,3
400000100,000000200,5,2
000000000,000000110,0,2
002020000,501010300,4,10
001000043,001427010,8,15
000020000,001010001,2,3
000000000,000400000,0,4
000410023,242020300,10,13
000100001,001100100,2,3
000100000,001001010,1,3
000001300,010010500,4,7
000001130,000102030,5,6
0031000100,1010120001,5,6
003000003,0001010000,6,2
001331001,000100100,9,2
100000140,010020010,6,4
000010000,000400100,1,5
100021000,002040000,4,6
000020000,103021000,2,7
102000030,100010200,6,4
020023070,110000330,14,8
000000000,000141000,0,6
000020002,100100000,4,2
030000100,040000001,4,5
000202102,000100010,7,2
022001424,000000300,15,3
100000000,000002000,1,2
000000010,200010000,1,3
100000000,020001000,1,3
050022300,010000503,12,9
020000001,200100001,3,4
021000020,110230000,5,7
000002000,201100000,2,4
220102010,510000021,8,9
106220001,011000300,12,5
001000000,000200110,1,4
100100010,000000000,3,0
020000000,040002100,2,7
000000100,000000000,1,0
024122010,003002001,12,6
220000010,000010000,5,1
000000000,062200000,0,10
002011000,130201050,4,12
020000001,000201010,3,4
001011000,000100210,3,4
200010000,200002000,3,4
020028010,211000001,13,5
202030100,000060000,8,6
000021300,000500000,6,5
010100000,020100020,2,5
120021200,100010000,8,2
002300101,110002010,7,5
131200012,002000030,10,5
000000000,101207300,0,14
050000143,000000200,13,2
1000013014,0042000000,10,6
014101034,012000104,14,8
000000000,102010000,0,4
100002000,011000130,3,6
101200200,101000100,6,3
020400011,000100000,7,1
220000000,001000103,4,5
000000110,060100000,2,7
030230000,600110120,8,11
000001000,200002000,1,4
300320001,000000001,9,1
001001001,000100100,3,1
001000000,000000020,1,2
012220300,000030000,10,3
300420501,000000001,15,1
001000041,000060300,6,9
100100040,201040010,6,8
000001100,010103020,2,7
102002000,000010010,5,2
102200001,111000200,6,5
000001112,001000001,5,2
001000100,004000000,2,4
000223001,100000400,8,5
000000000,000130010,0,5
101100100,000000000,4,0
0000021121,0120102000,7,6
124000000,041042000,7,11
005000010,003010102,6,7
030001200,110000010,6,3
000000000,000000200,0,2
000105010,100000500,7,6
000000000,000000100,0,1
000100000,300101000,1,5
0100000203,0110000100,6,3
104001203,000000610,11,7
000000202,001200120,4,6
005010030,000000100,9,1
020400000,100010000,6,2
010004111,200130000,8,6
010000000,600101000,1,8
100000100,001000000,2,1
002004040,120000201,10,6
200220101,102200000,8,5
000200000000000000,000101000000000001,2,3
200014200,002001200,9,5
000000000,000000310,0,4
002001000,004000000,3,4
030002010,001010021,6,5
000001000,000000210,1,3
000001100,001010020,2,5
000101000,000100020,2,3
000000003,024010300,3,10
010000001,000001130,2,5
000000000,001100100,0,3
040000012,440101100,7,11
202000100,000004000,5,4
002010000,000100000,3,1
010120000,000100000,4,1
000000000,000100030,0,4
000410000,101000000,5,2
001200050,100000102,8,4
00010000000002,00000100000000,3,1
201000001,102000000,4,3
020000020,212000100,4,6
300200300,042011001,8,9
111400000,200010140,7,8
001030000,000000000,4,0
100010020,002013110,4,8
400000500,000040010,9,5
000002100,101000000,3,2
000000020,213010000,1,7
