visitorScore,homeScore,innings,homeWin
0,1,3,true
0,3,4,true
0,8,5,true
0,8,6,true
0,8,7,true
3,9,8,true
0,0,0,true
0,1,1,true
0,1,2,true
0,1,3,true
2,1,4,true
4,1,5,true
4,1,6,true
4,3,7,true
4,3,8,true
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
2,0,4,false
2,0,5,false
4,0,6,false
6,2,7,false
6,3,8,false
0,0,0,true
0,0,1,true
1,0,2,true
3,0,3,true
4,5,4,true
4,5,5,true
8,6,6,true
8,10,7,true
10,10,8,true
0,0,0,true
0,0,1,true
0,0,2,true
0,0,3,true
0,1,4,true
0,2,5,true
1,2,6,true
1,2,7,true
1,2,8,true
0,0,0,true
0,3,1,true
0,3,2,true
0,4,3,true
7,5,4,true
7,5,5,true
7,5,6,true
7,5,7,true
7,8,8,true
0,0,0,true
3,0,1,true
3,2,2,true
3,9,3,true
6,10,4,true
6,10,5,true
7,10,6,true
7,10,7,true
7,10,8,true
0,0,0,true
0,0,1,true
0,0,2,true
0,0,3,true
0,0,4,true
1,1,5,true
1,1,6,true
1,2,7,true
1,3,8,true
0,0,0,true
0,0,1,true
0,0,2,true
1,1,3,true
1,1,4,true
1,3,5,true
1,3,6,true
1,5,7,true
1,5,8,true
0,0,0,false
0,3,1,false
0,3,2,false
0,4,3,false
0,4,4,false
0,4,5,false
0,4,6,false
3,4,7,false
4,5,8,false
5,5,9,false
5,5,10,false
0,0,0,true
0,0,1,true
0,0,2,true
0,0,3,true
0,0,4,true
0,0,5,true
0,1,6,true
0,1,7,true
3,5,8,true
0,0,0,true
0,0,1,true
0,1,2,true
0,2,3,true
1,2,4,true
1,3,5,true
1,3,6,true
1,3,7,true
1,3,8,true
0,0,0,false
3,0,1,false
3,0,2,false
3,0,3,false
3,0,4,false
3,2,5,false
3,3,6,false
3,3,7,false
3,3,8,false
0,0,0,false
4,0,1,false
5,0,2,false
5,0,3,false
5,0,4,false
5,0,5,false
5,0,6,false
6,2,7,false
6,3,8,false
0,0,0,true
0,4,1,true
0,4,2,true
0,5,3,true
0,5,4,true
0,7,5,true
0,8,6,true
0,8,7,true
0,8,8,true
0,0,0,true
0,0,1,true
0,0,2,true
0,0,3,true
0,3,4,true
0,3,5,true
1,6,6,true
1,7,7,true
1,7,8,true
0,0,0,false
0,2,1,false
1,2,2,false
1,2,3,false
2,2,4,false
2,2,5,false
2,3,6,false
3,3,7,false
3,3,8,false
0,0,0,false
1,0,1,false
1,0,2,false
1,1,3,false
1,1,4,false
1,1,5,false
2,1,6,false
2,1,7,false
2,1,8,false
0,0,0,true
0,0,1,true
0,1,2,true
0,2,3,true
0,2,4,true
0,2,5,true
0,4,6,true
0,4,7,true
0,7,8,true
0,0,0,true
0,4,1,true
1,4,2,true
1,4,3,true
3,4,4,true
3,4,5,true
3,4,6,true
3,6,7,true
3,6,8,true
0,0,0,false
2,0,1,false
3,0,2,false
5,0,3,false
5,0,4,false
9,0,5,false
9,3,6,false
10,3,7,false
10,3,8,false
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
0,0,4,false
0,2,5,false
1,2,6,false
4,2,7,false
4,2,8,false
0,0,0,false
0,0,1,false
0,1,2,false
0,1,3,false
0,1,4,false
0,1,5,false
1,1,6,false
1,1,7,false
1,1,8,false
0,0,0,false
0,0,1,false
